Tag,SAP Tag,SAP Description,P&ID TAG,P&ID Number,Datasheet Tag,Tier,LOD,Inst Type,Manufacturer,Model number,ManufSerialNo.
P7706A,P7706A,P7706A M7706A FEED PUMP,P7706A,M7706 Pump Skid ELD,P7706A,1,LOD300,PUMP,SPECK PUMPEN,PY-2273-XX,PY-2273-XX
LSL770601A,LSL770601A,LSL770601A EMPTY SWITCH ON P7706A,LAL770601A,M7706 Pump Skid ELD,LAL770601A,1,LOD300,SWITCH,SONOCONTROL,SONOCONTROL 15,SONOCONTROL 15
PX770602A,PX770602A,PX770602A PRESS XTR ON P7706A SUCTION,PI770602A,M7706 Pump Skid ELD,PX770602A,2,LOD300,PRESS TRANSMITTER,UNKNOWN,Unknown,Unknown
PX770604A,PX770604A,PX770604A PRESS XTR ON P7706A DISCHARGE,PI770604A,M7706 Pump Skid ELD,PX770604A,2,LOD300,PRESS TRANSMITTER,WIKA,IS-21 / IS-3,IS-21 / IS-3
HE7706A,HE7706A,HE7706A M7706A HEAT EXCHANGER,HE7706A,M7706 Pump Skid ELD,HE7706A,1,LOD300,HEAT EXCHANGER,EXERGY,35 Series Sanitary,35 Series Sanitary 01095-16
TX770607A,TX770607A,TX770607A TEMP XTR ON M7706A RECYCLE,TX770607A,M7706 Pump Skid ELD,TX770607A,2,LOD300,TEMP TRANSMITTER,WIKA,TR21-B-BTB,TR21-B-BTB
TCV770605A,TCV770605A,TCV770605A TEMP CTRL VLV ON HE7706A,TCV770605A,M7706 Pump Skid ELD,TCV770605A,2,LOD300,CONTROL VALVE,EQUILIBAR,EB1HF2,EB1HF2
FX770609A,FX770609A,FX770609A FLOW XTR ON P7706A FEED 1,FX770609A,M7706 Pump Skid ELD,FX770609A,1,LOD300,FLOW TRANSMITTER,ENDRESS + HAUSER,83A02-DSVWACDAACA2,83A02-DSVWACDAACA2+Z1
FCV770610A,FCV770610A,FCV770610A CTRL VLV ON P7706A FEED 1,FCV770610A,M7706 Pump Skid ELD,FCV770610A,2,LOD300,CONTROL VALVE,EQUILIBAR,EB1LF2,EB1LF2
PX770612A,PX770612A,PX770612A PRESS XTR ON P7706A FEED 1,PX770612A,M7706 Pump Skid ELD,PX770612A,2,LOD300,PRESSURE TRANSMITTER,WIKA,IS-21 / IS-3,IS-21 / IS-3
PSV770606A,PSV770606A,PSV770606A PRESS SFTY VLV ON HE7706A,PSV770606A,M7706 Pump Skid ELD,PSV770606A,1,LOD300,SAFETY VALVE,SWAGELOK,IS-SS-4R3A5-KZ-MO-A,IS-SS-4R3A5-KZ-MO-A
P7706B,P7706B,P7706B M7706B FEED PUMP,P7706B,M7706 Pump Skid ELD,P7706B,1,LOD300,PUMP,SPECK PUMPEN,PY-2273-XX,PY-2273-XX
LSL770601B,LSL770601B,LSL770601B EMPTY SWITCH ON P7706B,LAL770601B,M7706 Pump Skid ELD,LAL770601B,1,LOD300,SWITCH,SONOCONTROL,SONOCONTROL 15,SONOCONTROL 15
PX770602B,PX770602B,PX770602B PRESS XTR ON P7706B SUCTION,PI770602B,M7706 Pump Skid ELD,PX770602B,2,LOD300,PRESS TRANSMITTER,WIKA,IS-21 / IS-3,IS-21 / IS-3
PX770604B,PX770604B,PX770604B PRESS XTR ON P7706B DISCHARGE,PI770604B,M7706 Pump Skid ELD,PX770604B,2,LOD300,PRESS TRANSMITTER,WIKA,IS-21 / IS-3,IS-21 / IS-3
HE7706B,HE7706B,HE7706B M7706B HEAT EXCHANGER,HE7706B,M7706 Pump Skid ELD,HE7706B,1,LOD300,HEAT EXCHANGER,EXERGY,35 Series Sanitary,35 Series Sanitary 01095-16
TX770607B,TX770607B,TX770607B TEMP XTR ON M7706B RECYCLE,TX770607B,M7706 Pump Skid ELD,TX770607B,1,LOD300,TEMP TRANSMITTER,WIKA,TR21-B-BTB,TR21-B-BTB
TCV770605B,TCV770605B,TCV770605B TEMP CTRL VLV ON HE7706B,TCV770605B,M7706 Pump Skid ELD,TCV770605B,2,LOD300,CONTROL VALVE,EQUILIBAR,EB1HF2,EB1HF2
FX770609B,FX770609B,FX770609B FLOW XTR ON P7706B FEED,FX770609B,M7706 Pump Skid ELD,FX770609B,1,LOD300,FLOW TRANSMITTER,ENDRESS + HAUSER,83A02-DSVWACDAACA2,83A02-DSVWACDAACA2+Z1
FCV770610B,FCV770610B,FCV770610B CTRL VLV ON P7706B FEED,FCV770610B,M7706 Pump Skid ELD,FCV770610B,2,LOD300,CONTROL VALVE,EQUILIBAR,EB1LF2,EB1LF2
PX770612B,PX770612B,PX770612B PRESS XTR ON P7706B FEED,PX770612B,M7706 Pump Skid ELD,PX770612B,2,LOD300,PRESSURE TRANSMITTER,WIKA,IS-21 / IS-3,IS-21 / IS-3
PSV770606B,PSV770606B,PSV770606B PRESS SFTY VLV ON HE7706B,PSV770606B,M7706 Pump Skid ELD,PSV770606B,1,LOD300,SAFETY VALVE,SWAGELOK,IS-SS-4R3A5-KZ-MO-A,IS-SS-4R3A5-KZ-MO-A
P7707A,P7707A,P7707A M7707A FEED PUMP,P7707A,M7707 Pump Skid ELD,P7707A,1,LOD300,PUMP,SPECK PUMPEN,NPY-2251-MK,NPY-2251-MK
LSL770701A,LSL770701A,LSL770701A EMPTY SWITCH ON P7707A,LAL770701A,M7707 Pump Skid ELD,LAL770701A,1,LOD300,SWITCH,SONOCONTROL,SONOCONTROL 15,SONOCONTROL 15
PX770702A,PX770702A,PX770702A PRESS XTR ONP7707A SUCTION,PI770702A,M7707 Pump Skid ELD,PX770702A,2,LOD300,PRESS TRANSMITTER,WIKA,IS-21 / IS-3,IS-21 / IS-3
PX770704A,PX770704A,PX770704A PRESS XTR ON P7707A DISCHARGE,PI770704A,M7707 Pump Skid ELD,PX770704A,2,LOD300,PRESS TRANSMITTER,WIKA,IS-21 / IS-3,IS-21 / IS-3
HE7707A,HE7707A,HE7707A M7707A HEAT EXCHANGER,HE7707A,M7707 Pump Skid ELD,HE7707A,1,LOD300,HEAT EXCHANGER,EXERGY,35 Series Sanitary,35 Series Sanitary 01095-16
TX770707A,TX770707A,TX770707A TEMP XTR ON M7707A RECYCLE,TX770707A,M7707 Pump Skid ELD,TX770707A,2,LOD300,TEMP TRANSMITTER,WIKA,TR21-B-BTB,TR21-B-BTB
TCV770705A,TCV770705A,TCV770705A TEMP CTRL VLV ON HE7707A,TCV770705A,M7707 Pump Skid ELD,TCV770705A,2,LOD300,CONTROL VALVE,EQUILIBAR,EB1HF2,EB1HF2
FX770709A,FX770709A,FX770709A FLOW XTR ON P7707A FEED,FX770709A,M7707 Pump Skid ELD,FX770709A,1,LOD300,FLOW TRANSMITTER,ENDRESS + HAUSER,83A02-DSVWACDAACA2,83A02-DSVWACDAACA2+Z1
